Date,Close,High,Low,Open,Volume,SMA_8,SMA_20,SMA_50,SMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist
2015-03-24,28.170604705810547,28.470786706839743,28.141697009126034,28.29067852409887,131369200,,,,,,,,
2015-03-25,27.434602737426758,28.199516844224117,27.434602737426758,28.137256709291577,206620800,,,,,,,,
2015-03-26,27.625823974609375,27.76813330160785,27.261156112118154,27.29673429209827,190291600,,,,,,,,
2015-03-27,27.405696868896484,27.72811615347539,27.330095760801022,27.69921014681444,158184800,,,,,,,,
2015-03-30,28.099449157714844,28.106119642444803,27.572458810054766,27.58357741557871,188398800,,,,,,,,
2015-03-31,27.668071746826172,28.126129772299695,27.65250671770215,28.037186021679155,168362400,,,,,,,,
2015-04-01,27.62804412841797,27.82149663766878,27.372331509466417,27.75478840786898,162485600,,,,,,,,
2015-04-02,27.865970611572266,27.91933618318835,27.614706086104803,27.801486434991567,128880400,27.7372829914093,,,,,,,
2015-04-06,28.317363739013672,28.35294192475229,27.645841599579253,27.67697166386991,148776000,27.755627870559692,,,,,,,
2015-04-07,28.019399642944336,28.488574593940104,28.01272915828701,28.38184344650085,140049200,27.82872748374939,,,,,,,
2015-04-08,27.928226470947266,28.106113944501214,27.78814123063449,27.983816094375292,149316800,27.866527795791626,,,,,,,
2015-04-09,28.14169692993164,28.14614505085262,27.719217051336283,27.983822566458237,129936000,27.95852780342102,,,,,,,
2015-04-10,28.26177215576172,28.286231732662372,27.852633226625628,28.006059476821086,160752000,27.97881817817688,,,,,,,
2015-04-13,28.206178665161133,28.588637297522965,28.15281309396547,28.54416287801489,145460400,28.04608154296875,,,,54.06855024468515,,,
2015-04-14,28.08388328552246,28.30401775731362,27.997163593711978,28.239533579423085,102098400,28.10306143760681,,,,51.04075511514399,,,
2015-04-15,28.190616607666016,28.268441760625606,28.01940127115491,28.108345030163488,115881600,28.14364218711853,,,,53.488771032697265,,,
2015-04-16,28.054967880249023,28.261761326147244,28.04162691485575,28.07942744777702,113476000,28.11084270477295,,,,50.06271615678527,,,
2015-04-17,27.739229202270508,28.04830745205387,27.674745018986492,27.917116721430638,207828000,28.07582139968872,,,,43.13681187038882,,,
2015-04-20,28.372947692871094,28.488573380415158,27.832616404650924,27.921560154702245,188217200,28.1314115524292,,,,56.22643797502113,,,
2015-04-21,28.219524383544922,28.506365420044734,28.166157110114217,28.48413160080693,129740400,28.14113998413086,27.97170352935791,,,53.04294901707771,,,
2015-04-22,28.599754333496094,28.65534396850471,28.088330709293473,28.23731052396591,150618000,28.183387756347656,27.993161010742188,,,59.20726953436016,,,
2015-04-23,28.833229064941406,28.999997956003867,28.493020798607734,28.528598976335616,183083600,28.26176905632019,28.06309232711792,,,62.4655792347625,,,
2015-04-24,28.968870162963867,29.04669700871143,28.73539301864322,29.015566948996813,178103600,28.372392416000366,28.130244636535643,,,64.25205356272997,,,
2015-04-27,29.495861053466797,29.602595603096105,29.162323219950373,29.420259958837757,387816800,28.535547971725464,28.23475284576416,,,70.18873746297494,,,
2015-04-28,29.031139373779297,29.916125685313027,28.811006522904183,29.89833998241094,475696000,28.657569408416748,28.281337356567384,,,60.627064680180084,,,
2015-04-29,28.60420036315918,29.26015732972162,28.5285992793757,28.942186269320725,253544400,28.765690803527832,28.328143787384032,,,53.426292456294036,0.23807116771991588,,
2015-04-30,27.828166961669922,28.604197661348078,27.70142268294621,28.604197661348078,332781600,28.697593212127686,28.33814992904663,,,43.34811489567137,0.15703343099604083,,
2015-05-01,28.67313003540039,28.93551484929317,27.861522807023945,28.0394086024176,234050400,28.75429391860962,28.378507900238038,,,53.6093458788185,0.1591572336781013,,
2015-05-04,28.61754035949707,29.033353092023468,28.519702069490858,28.795427851060936,203953200,28.75651717185974,28.393516731262206,,,52.93009707227636,0.1545729199389605,,
2015-05-05,27.97270393371582,28.561952684862618,27.968255813068883,28.49524444684628,197085600,28.648951530456543,28.39118194580078,,,45.69711682293356,0.09777976358598295,,
2015-05-06,27.797042846679688,28.18394624917403,27.430150899410055,28.141697581751504,288564000,28.50247311592102,28.3846227645874,,,43.935775312208605,0.03815655136824958,,
2015-05-07,27.968975067138672,28.152070633388597,27.692097515406704,27.859563034667513,175763600,28.311612367630005,28.375986671447755,,,46.12460333786882,0.004723766774240801,,
2015-05-08,28.495927810668945,28.495927810668945,28.158763487350264,28.286037189013378,222201600,28.24471092224121,28.387694454193117,,,52.2745949619158,0.020512273863690922,,
2015-05-11,28.20565414428711,28.482529943603403,28.051585348625007,28.444571508121946,168143200,28.194892644882202,28.387668228149415,,,48.95917329532982,0.0094926946484577,0.0827051811619363,-0.0732124865134786
2015-05-12,28.10518455505371,28.330703593703173,27.8707321127793,28.04489600541853,192640000,28.229519844055176,28.388733291625975,,,47.82847611215833,-0.007263725754160788,0.06471139977871689,-0.07197512553287767
2015-05-13,28.136436462402344,28.39991557556274,28.10517637300595,28.167696551798738,138776800,28.16243314743042,28.386024284362794,,,48.22899720861742,-0.01781616820983345,0.048205886181006824,-0.06602205439084027
2015-05-14,28.79290199279785,28.79290199279785,28.393219150803873,28.449040986155204,180814000,28.184353351593018,28.422920989990235,,,55.8894498331789,0.026486902583911842,0.04386208946158783,-0.017375186877675988
2015-05-15,28.75271224975586,28.91347941005312,28.62767188221232,28.819699134395467,152832000,28.281854391098022,28.473595142364502,,,55.34948013898208,0.05768942125276766,0.0466275558198238,0.011061865432943858
2015-05-18,29.06977653503418,29.18811854124879,28.661160333406826,28.66562703376231,203531600,28.440946102142334,28.508436584472655,,,58.736533508402566,0.10677128716934448,0.05865630208972794,0.048114985079616535
2015-05-19,29.04298973083496,29.223851954649565,28.9469743904439,29.181426809390363,178532800,28.57519793510437,28.549609851837157,,,58.3339323360467,0.14187213463601367,0.07529946859898509,0.06657266603702858
2015-05-20,29.04075050354004,29.246174444717788,28.879983348341042,29.027353808455853,145819600,28.643300771713257,28.571659660339357,,,58.297958890850204,0.16757739432414098,0.09375505374401627,0.07382234058012471
2015-05-21,29.337722778320312,29.391312965217566,28.989395081224014,29.04298526812127,158921600,28.784809350967407,28.596884346008302,,,61.67363535572527,0.2094972248961824,0.1169034879744495,0.0925937369217329
2015-05-22,29.594497680664062,29.69051299277318,29.33995029118235,29.38461047751805,182384000,28.9709734916687,28.62816572189331,,,64.35998611802601,0.2604364322276709,0.14561007682509378,0.1148263554025771
2015-05-26,28.942506790161133,29.677124119570855,28.830863109091734,29.60790558244299,282790400,29.07173228263855,28.600498008728028,,,54.00853717058799,0.2453674617238697,0.16556155380484897,0.07980590791902073
2015-05-27,29.48286247253418,29.53198596589671,29.03852279224789,29.103274629628586,183332800,29.15797734260559,28.623084163665773,,,59.781909055805905,0.2738703744617723,0.18722331793623365,0.08664705652553867
2015-05-28,29.424802780151367,29.462761215729895,29.272969037837246,29.442666174616694,122933200,29.24198865890503,28.66411428451538,,,58.92597796918516,0.28844914402974453,0.20746848315493585,0.08098066087480868
2015-05-29,29.089874267578125,29.35112004549353,29.005023988443504,29.30199655832027,203538000,29.244500875473022,28.727199649810792,,,54.11280834264326,0.26986614318365554,0.2199480151606798,0.04991812802297574
2015-06-01,29.147932052612305,29.337727681720942,29.038523420832306,29.089878562424854,128451200,29.25761866569519,28.750939750671385,,,54.80199468575015,0.25686280465245304,0.22733097305903446,0.029531831593418573
2015-06-02,29.018423080444336,29.174723530965508,28.875519324668655,28.99609298447233,134670400,29.254827737808228,28.77098388671875,,,52.893582234472866,0.23341659230090173,0.22854809690740793,0.0048684953934937936
2015-06-03,29.054147720336914,29.237244975360273,29.00502423274989,29.1747247924485,123934000,29.219380855560303,28.825056076049805,28.451195755004882,,53.37590633623847,0.2152368633866928,0.2258858502032649,-0.010648986816572115
2015-06-04,28.884456634521484,29.156867520322322,28.783977991387278,28.933580132426236,153800400,29.13062572479248,28.879426765441895,28.465472793579103,,50.71941169289222,0.18500403344997807,0.21770948685260755,-0.03270545340262948
2015-06-05,28.72591781616211,28.95813858108162,28.661165980173738,28.915713437081244,142507200,29.103552103042603,28.917273902893065,28.49129909515381,,48.30073036691713,0.1465620639899825,0.20348000228008256,-0.056917938290100056
2015-06-08,28.5361270904541,28.85096310562746,28.319538065016676,28.781741157699003,210699200,28.985210180282593,28.919283866882324,28.509505157470702,,45.50322653780045,0.09963348798632765,0.18271069942133158,-0.08307721143500393
2015-06-09,28.451276779174805,28.598647263681052,28.049360528202932,28.290509597367066,224301600,28.863519430160522,28.93156499862671,28.53041675567627,,44.26876507804154,0.054961974969884864,0.15716095453104226,-0.1021989795611574
2015-06-10,28.777273178100586,28.87998344548777,28.54728578924955,28.562915834749408,156349200,28.82444429397583,28.965169429779053,28.543973236083986,,49.89316694522852,0.04534198975769499,0.1347971615763728,-0.08945517181867782
2015-06-11,28.712522506713867,29.067548612456317,28.68796075937411,28.84426123922032,141563600,28.770018100738525,28.99397373199463,28.56486225128174,,48.83887833462283,0.03212295075139693,0.11426231941137763,-0.0821393686599807
2015-06-12,28.39545249938965,28.654466648645087,28.382055803237584,28.623206555258715,147544800,28.69214677810669,28.974101257324218,28.58021041870117,,43.94225849250923,-0.003893253621296111,0.09063120480484288,-0.09452445842613899
2015-06-15,28.339628219604492,28.41108009883974,28.069450748010365,28.156532672592473,175955600,28.602831840515137,28.95344705581665,28.589683570861816,,43.122497475679054,-0.03651992889762212,0.06520097806434988,-0.101720906961972
2015-06-16,28.491464614868164,28.547286450596175,28.216822137072793,28.364190897550184,125976400,28.55370783805847,28.92453145980835,28.593165588378906,,46.069475972077576,-0.0495536523107738,0.042250051989325146,-0.09180370430009895
2015-06-17,28.42447853088379,28.553983890961618,28.299436464414363,28.51825880307548,131672400,28.51602792739868,28.89360589981079,28.601267166137696,,44.962644042703204,-0.06454416422227638,0.02089120874700484,-0.08543537296928122
2015-06-18,28.553987503051758,28.65000113774058,28.40661872861507,28.408852079248966,141628800,28.51826047897339,28.869267749786378,28.613782386779786,,47.584610747315374,-0.06522212119683246,0.003668542758237381,-0.06889066395506985
2015-06-19,28.268171310424805,28.54058208389581,28.223514532679044,28.51602034507158,218867600,28.49537229537964,28.8157901763916,28.61631187438965,,42.7448382730244,-0.08781016415059639,-0.014627198623529375,-0.07318296552706702
2015-06-22,28.49370002746582,28.594178657629293,28.37535799972522,28.466904931100128,136157200,28.459925651550293,28.76075029373169,28.62095043182373,,47.29966155167876,-0.08651576836294694,-0.02900491257141289,-0.05751085579153405
2015-06-23,28.364194869995117,28.493701955873092,28.33070142315806,28.464675210506293,121075600,28.41638469696045,28.73183469772339,28.62411075592041,,45.081831151114955,-0.09484660167953862,-0.04217325039303804,-0.05267335128650058
2015-06-24,28.605337142944336,28.982693238319445,28.384283185181467,28.404378225184015,221123600,28.442620277404785,28.687958431243896,28.634539833068846,,49.80170344600871,-0.08105631425152637,-0.04994986316473571,-0.031106451086790665
2015-06-25,28.469131469726562,28.84871920790414,28.469131469726562,28.772802341687402,127752400,28.458808183670044,28.640174865722656,28.64011013031006,,47.327506024815634,-0.08019364915291405,-0.05599862036237138,-0.024195028790542666
2015-06-26,28.301679611206055,28.57855552646432,28.248091109053952,28.50710362241226,176267200,28.43508505821228,28.60076513290405,28.6450443649292,,44.40660284956121,-0.09196186721514721,-0.06319126973292655,-0.02877059748222066
2015-06-29,27.80596923828125,28.239147177225394,27.794805894589647,28.01362651067182,196645600,28.357771396636963,28.5336669921875,28.646379165649414,,37.1058359891115,-0.13967783000759226,-0.0784885817878597,-0.06118924821973257
2015-06-30,28.006935119628906,28.161003951342472,27.879661385814753,28.038195215404492,177482800,28.289389848709106,28.48309259414673,28.63905891418457,,41.31799612824408,-0.15943889487983398,-0.09467864440625456,-0.06476025047357942
